Beta_Carot,Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12,Vit_B6_(mg),Vit_C_(mg),Vit_D,Vit_E_(mg),Water_(g)
0,0.00163,0,0.201774,0,0.006904,0.1063,0.028129,1.50E-04,0.236799,0.001883,4.66E-04,0.01203,0.085777,0,0.017794,0.004869,0.687087
3.80E-05,0.00258,0.55211,0.302661,0.043315,0.042316,0.017,0.039381,0.014569,0.114486,0.011172,0.001956,0,0.01051,3.68E-04,0,0.007546,0.32032
0,0.001765,0,0.280488,0,0.04098,0.133,0.032349,2.99E-04,0.36285,0.001832,0,0.074286,0.049161,0,0.007117,0.003408,0.548549
0,0.014394,0.64813,0.556541,0.020716,0.00902,0.2485,0.037975,0.00454,0.05736,0.005109,0.001863,0.009925,0.004238,3.16E-04,0,0.018014,0.042342
3.80E-05,0.00163,0.032707,0.025499,0.00565,0.003007,0.007,0.001406,0.00163,0.017523,0.010914,9.30E-05,0,0.00339,2.63E-04,0,0.002678,0.933534
0,0.002037,0,0.062084,0,0.00245,0.0041,0.022504,1.83E-04,0.142407,0.008592,2.79E-04,0.049023,0.011697,0,0.007117,0.011928,0.868368
0,0.027023,0.592519,0.597561,0.003766,0.002673,0.3209,0.016878,1.33E-04,0.068575,0.002322,8.38E-04,0.016842,0.009493,2.63E-04,0,0.023369,0.013013
3.06E-04,0.002852,0.113923,0.056541,0.161959,0.006793,0.0034,0.059072,0.003742,0.033762,0.007637,9.30E-05,0,0.013731,0.003895,0,0.004625,0.841642
0.002332,0.00163,0.029606,0.014412,0.026365,0.007906,7.00E-04,0.018284,0.001613,0.007126,1.29E-04,4.66E-04,0,0.00712,0.001421,0,0.002921,0.961361
0.003287,8.15E-04,0.230546,0.35255,0,0.001336,0.2531,0.002813,9.65E-04,0.014603,6.45E-04,6.52E-04,0,0,0,0,0.023369,0.502603
0,0.002988,0,0.235033,0,0.021047,0.0967,0.035162,1.66E-04,0.34264,0.001574,0,0.05203,0.104085,0,0.007117,0.010224,0.603904
0,0.022135,0.441788,0.251663,0.065913,0.044543,0.0169,0.033755,0.008399,0.103621,0.00934,0,0.001203,0.009154,9.47E-04,0,0.007546,0.436036
0,0.001086,0,0.233925,0,0.014699,0.0633,0.040788,6.49E-04,0.42243,0.001729,0,0.035188,0.061027,0,0,0.011928,0.555455
0,0.002444,0,0.213969,0,0.020045,0.0786,0.033755,1.83E-04,0.333061,0.001522,0,0.04782,0.103746,0,0.003559,0.009494,0.634635
0,2.72E-04,0.05161,0.022173,0,2.23E-04,0,0,0,0,1.03E-04,0,0,0,0,0,0,0.948749
0,8.15E-04,0.025905,0.129712,0,0.022717,0.034,0.026723,2.49E-04,0.209579,0.02882,0,0.058045,0.067639,0,0.003559,0.004625,0.726026
3.80E-05,0.006654,0.426085,0.399113,0.041431,0.012249,0.193,0.030942,0.01437,0.073598,0.011017,2.79E-04,0.005113,0.016443,1.05E-04,0,0.041383,0.298298
0,0.002173,0,0.225055,0,0.012918,0.0813,0.029536,2.66E-04,0.355841,0.002374,0.001676,0.010226,0.100017,0,0.003559,0.006573,0.628428
0,0.015345,0.046809,0.197339,0,3.34E-04,0.1657,0.014065,3.30E-05,0.037967,0.001238,2.79E-04,0.009925,0.002882,4.74E-04,0,0.032619,0.748649
1.15E-04,0.004481,0.616123,0.359202,0.06968,0.023051,0.091,0.022504,0.003659,0.033879,0.008308,6.52E-04,3.01E-04,0.007798,2.63E-04,0,0.021908,0.253253
0,0.001765,0,0.13969,0,0.0098,0.0354,0.030942,2.99E-04,0.256659,0.00209,0.001676,0.011429,0.089846,6.32E-04,0.003559,0.003165,0.75025
0,0.001358,0,0.25388,0,0.011693,0.1481,0.030942,3.33E-04,0.264369,0.002219,0.00149,0.012632,0.069503,0,0.007117,0.004625,0.623223
0,0.011407,0,0.085366,0,0.002895,0.0075,0.053446,9.31E-04,0.192991,0.010914,9.30E-05,0.037594,0.01763,0,0,0.021178,0.81031
3.80E-05,0.004753,0.589118,0.528825,0.033898,0.027951,0.236,0.063291,0.004657,0.11215,0.010707,2.79E-04,0.001203,0.014748,0,0,0.053554,0.061061
0,0.001765,0,0.200665,0,0.012472,0.0718,0.025316,2.83E-04,0.317523,0.001883,0.00149,0.006617,0.054246,0,0.003559,0.006573,0.670771
0,0.00258,0,0.221729,0,0.02049,0.0839,0.035162,1.83E-04,0.339252,0.001548,0,0.049925,0.105611,0,0.003559,0.009737,0.62993
0,0.002173,0,0.190687,0,0.01147,0.0741,0.033755,8.32E-04,0.306542,0.012694,0.001024,0.022256,0.04611,0,0.003559,0.008033,0.643043
7.60E-05,0.026209,0.487097,0.269401,0.094162,0.034744,0.021,0.059072,0.018627,0.109813,0.010707,0,0,0.016613,0,0,0.011928,0.372372
0,0.002173,0.322064,0.362528,0.050847,0.007461,0.2165,0.026723,0.002428,0.030491,0.013365,0,0,0.037803,0.001526,0,0.023612,0.415315
8.41E-04,0.003666,0.179536,0.076497,0.033898,0.003229,0.001,0.014065,0.00143,0.004556,2.60E-05,1.86E-04,0,0.011866,5.26E-04,0,0.002434,0.813413
3.06E-04,0.001086,0.032206,0.021064,0.026365,0.003563,0.004,0.005626,0.002611,0.020093,1.81E-04,9.30E-05,0,0.023055,5.79E-04,0,0.015336,0.944144
0,0.001494,0,0.226164,0,0.014811,0.1064,0.028129,3.16E-04,0.295794,0.001961,0.002515,0.006617,0.032209,0,0.003559,0.006573,0.651852
3.80E-05,0.006247,0.478096,0.411308,0.035782,0.01971,0.185,0.021097,0.004208,0.063084,0.009134,0.001397,0.002707,0.007289,0.002053,0,0.008277,0.271271
0,4.07E-04,0.143929,0.062084,0.039548,0.0049,0.0022,0.019691,0.003393,0.018224,1.03E-04,0,0,0.026954,1.58E-04,0.024911,0,0.835636
0,0.00937,0,0.094235,0,0.00657,0.0369,0.018284,0.001414,0.141005,0.002503,0,0.041805,0.002373,0,0,0.002191,0.842442
2.68E-04,0.001494,0.017904,0.14745,0.001883,0.046771,0.0621,0.019691,2.16E-04,0.190421,0.025311,3.73E-04,0.007218,0.04577,0.004263,0.007117,0.005355,0.718018
0,0.002444,0.002501,0.201774,0,0.01069,0.0988,0.030942,7.65E-04,0.268341,0.013004,0.001118,0.016842,0.051195,0,0.007117,0.005355,0.648749
0,9.51E-04,0.722144,0.447894,0.033898,0.008352,0.127,0.029536,0.01575,0.042056,0.006373,0,9.02E-04,0.016783,0,0,0.003651,0.106106
0,0.009641,0.437087,0.28714,0.092279,0.038196,0.048,0.04782,0.01264,0.133178,0.011559,1.86E-04,0,0.006781,0,0,0.011685,0.385385
0,0.002173,0.018204,0.272727,0.001883,0.013474,0.1209,0.037975,4.32E-04,0.355724,0.001987,0.001863,0.009925,0.091541,0,0.003559,0.013875,0.547147
0,9.51E-04,0,0.178492,0,0.022717,0.0829,0.030942,0.001181,0.25257,0.001445,1.86E-04,0.058947,0.0812,0,0.003559,0.004382,0.697197
0,0.002309,0.031506,0.298226,0.001883,0.015367,0.1492,0.035162,5.65E-04,0.333645,0.002167,0.002515,0.009323,0.069503,0,0.003559,0.015336,0.524625
0,0.002309,0.476095,0.284922,0.030132,0.029621,0.045,0.021097,0.005006,0.078271,0.025466,0,0,0.004068,0,0,0.001461,0.379379
0,0.002852,0,0.194013,0,0.009465,0.0694,0.036568,4.99E-04,0.307477,0.002477,0,0.039398,0.062722,0,0,0.011928,0.646547
3.80E-05,0.006247,0.680136,0.444568,0.022599,0.025501,0.136,0.029536,0.005073,0.047897,0.008721,7.45E-04,9.02E-04,0.008815,2.11E-04,0,0.054041,0.131131
1.91E-04,0.002037,0.411082,0.303769,0.041431,0.004677,0.112,0.012658,0.00316,0.038551,0.004051,5.59E-04,0.006617,0.007798,8.95E-04,0,0.034567,0.435435
0,6.79E-04,0,0.129712,0,0.008797,0.0308,0.036568,4.82E-04,0.245093,0.001625,0,0.031278,0.077979,0,0,0.007303,0.748749
0,0.007197,0.656131,0.529933,0.035782,0.028953,0.211,0.068917,0.015168,0.102804,0.009495,9.30E-05,0.006917,0.023563,5.30E-05,0,0.045521,0.028028
0,0.004481,0,0.245011,0,0.025278,0.1154,0.032349,3.83E-04,0.321145,0.001961,0,0.010827,0.054246,0,0.003559,0.014849,0.602903
7.60E-05,0.006654,0.20124,0.196231,0.07533,0.017372,0.0859,0.040788,0.00943,0.056776,0.006244,0,0,0.067639,0.004158,0,0.018257,0.649349
8.41E-04,0.003666,0.229046,0.097561,0.041431,0.003118,0.001,0.014065,0.001397,0.004439,2.60E-05,1.86E-04,0,0.011866,5.26E-04,0,0.002921,0.764064
0,4.07E-04,0,0.124169,0,0.008575,0.0195,0.040788,1.00E-04,0.27535,0.001316,6.52E-04,0.015338,0.145279,0,0.014235,0.001704,0.747347
0,0.00258,0.554111,0.332594,0.035782,0.03441,0.052,0.02391,0.005821,0.091121,0.025801,0,0,0.004916,0,0,0.001704,0.277277
0.001185,0.001901,0.021604,0.013304,0.013183,0.00245,0.0016,0.016878,0.001214,0.006893,5.20E-05,3.73E-04,0,0.008646,0.001684,0,7.30E-04,0.968268
4.97E-04,0.002444,0.108722,0.072062,0.033898,0.004232,0.0138,0.008439,4.99E-04,0.025234,3.10E-04,1.86E-04,6.02E-04,0.01407,1.05E-04,0,0.001704,0.854855
0,0.011678,0.066613,0.079823,0,0.00167,0.0029,0.015471,3.66E-04,0.120794,0.008514,1.86E-04,0.013835,0.002712,0,0,2.43E-04,0.810911
0,6.79E-04,0.10002,0.043237,0,4.45E-04,7.00E-04,0.002813,1.83E-04,0,5.20E-05,0,0,0,0,0,0.016553,0.876677
0,6.79E-04,0,0,0,1.11E-04,0,0.001406,1.70E-05,0,5.42E-04,0,0,0,0,0,0,1
0,0.001765,0,0.223947,0,0.010245,0.1045,0.036568,4.82E-04,0.293692,0.002141,0,0.042707,0.054246,0,0,0.010224,0.627227
0,0,0.003001,0.001109,0,2.23E-04,0,0.004219,0.003642,0,7.70E-05,0,0,0,0,0,0,0.997998
0,1.36E-04,0.14763,0.078714,0.015066,0.006347,0.0046,0.009845,6.15E-04,0.019977,5.20E-05,0,0,0.007798,0,0,7.30E-04,0.83013
0.001261,6.79E-04,0.194439,0.087583,0.037665,0.004677,0.005,0.032349,0.001114,0.028154,0.007018,3.73E-04,0,0.009324,0.004263,0,9.74E-04,0.766567
0,0.00258,0,0.174058,0,0.015033,0.0322,0.039381,3.33E-04,0.349299,0.001651,0,0.011128,0.091541,0,0.007117,0.002191,0.663363
0,0.003938,0.372074,0.330377,0.024482,0.008909,0.166,0.028129,0.007285,0.024533,0.007766,0.002515,0.003609,0.011527,0,0,0.003651,0.432432
1.91E-04,0.015345,0.205041,0.140798,0.035782,0.003452,0.037,0.02391,6.49E-04,0.03972,0.002503,0.002422,0.010226,0.008476,2.11E-04,0,0.002678,0.715716
0,0.002852,0.586017,0.538803,0.06968,0.023274,0.266,0.077356,0.015767,0.053738,0.003741,0,0,0.015257,2.11E-04,0,0.004625,0.090591
0,0,0,0.291574,0,4.45E-04,0,0,2.99E-04,0,2.60E-05,0,0,1.70E-04,0,0,0,0.621622
0.002676,0.00421,0.040008,0.018847,0.018832,0.010802,0.0013,0.015471,0.001281,0.009112,2.58E-04,5.59E-04,0,0.018817,0.004895,0,0.016553,0.943744
4.59E-04,0.001765,0.05201,0.029933,0.041431,0.005568,0.003,0.004219,0.004357,0.030374,1.03E-04,9.30E-05,0,0.040685,0.002105,0,0.024343,0.910911
0,9.51E-04,0,0.239468,0,0.03196,0.0773,0.032349,2.00E-04,0.401168,0.001161,0,0.056842,0.078149,0,0.003559,0.010954,0.575976
0,8.15E-04,0.008402,0.125277,0,0.009465,0.0301,0.030942,4.49E-04,0.240304,0.030445,0.001211,0.012632,0.078318,0,0.02847,0.006573,0.717818
0,0.002716,0,0.350333,0,0.020156,0.2308,0.033755,3.66E-04,0.294042,0.001987,0,0.074286,0.022038,0,0.003559,0.003165,0.516216
