dim1,dim2,dim3
10.498,11.989,8.035
5.0541,14.904,-2.7991
-6.6049,8.4465,-7.9027
1.4467,18.44,-11.032
-2.9672,4.7102,-10.296
10.307,6.4024,8.3198
12.241,13.094,4.0177
6.358,16.848,1.185
-3.0757,20.325,-10.253
-5.8208,12.217,-8.6205
-6.0964,1.2135,6.1189
-7.1908,18.55,5.0882
-8.297,16.89,3.5418
3.1383,19.364,13.551
-6.6557,6.6116,-7.8508
6.35,4.051,1.3636
-3.1883,19.892,-10.206
9.758,4.8326,-6.8997
0.72244,6.5707,14.067
4.4431,10.098,5.6498
1.3511,18.602,7.5572
8.4502,12.676,-8.2279
4.6563,14.978,5.4182
-7.0095,19.165,5.2851
-7.1042,20.651,5.1838
4.5844,7.9657,5.4986
1.9144,19.408,-11.003
12.576,19.924,1.8639
5.327,10.772,4.5211
-9.4773,16.167,-0.97867
-3.6503,7.2088,7.4641
-6.1579,10.494,6.0699
-8.7007,8.2495,2.7344
11.812,9.6279,-3.3857
4.6058,4.5555,5.4749
-3.2614,11.799,7.5887
0.2306,11.802,14.119
2.1693,6.517,-4.668
5.5925,4.8464,12.525
5.8695,0.8007,-1.4376
-5.12,2.9517,-9.1504
-6.5511,4.2648,5.7337
9.72,0.627,-6.9447
-5.9469,16.79,6.2343
5.5008,7.9867,4.2291
9.5134,20.208,9.3564
0.10315,19.789,14.129
7.2902,8.0726,11.445
-5.9464,17.134,6.2346
-9.4704,19.407,-0.63422
12.593,13.734,0.43675
-9.1925,6.6569,1.3014
10.946,5.7831,-5.2087
10.265,19.237,8.3795
10.62,1.189,-5.7379
7.1256,4.554,11.566
4.3787,15.471,-3.5043
5.355,13.471,4.4761
1.1259,20.017,-11.04
6.2444,14.455,-0.21861
6.3095,5.899,0.18314
12.546,12.842,2.2307
-4.6388,4.7189,7.0463
-5.608,17.179,6.4772
9.2384,13.48,9.6712
-6.713,7.1282,-7.7912
-6.5715,7.6532,5.7151
7.3722,5.1411,11.384
5.6198,8.7218,-10.04
10.429,3.3187,8.1392
6.234,18.707,-0.27024
-0.013156,5.8925,-10.994
4.6134,0.88111,-10.438
-8.6684,14.223,-4.8547
-9.2775,0.27071,0.93442
2.4414,13.03,7.1164
10.831,11.7,-5.4027
5.9057,9.6383,3.3759
5.8116,0.62796,3.6036
-3.072,17.07,7.6419
-0.83853,6.9543,7.9152
6.361,6.6242,1.0016
0.53977,9.7397,14.089
2.7338,9.8504,-10.904
12.266,14.051,3.9116
11.604,18.459,-3.9006
3.9971,8.9657,-3.8096
0.31262,15.713,-4.7676
-0.79331,18.123,7.9142
-9.4645,6.3572,-0.50282
1.2101,10.844,7.6004
8.2758,9.9165,-8.3762
11.727,5.6134,-3.6039
12.604,16.581,1.1873
-6.3175,13.277,5.9383
12.189,1.4361,-2.2073
12.316,6.5507,-1.6823
5.4465,1.4363,4.324
-5.2304,17.149,6.7197
5.2297,8.0267,4.6714
1.5559,0.16323,-4.7802
2.6716,13.218,13.686
11.754,17.837,5.5762
-8.4085,6.2322,3.3381
-2.2323,16.18,-10.554
-4.2635,19.509,-9.6838
-5.8447,9.3661,-8.6007
-9.4739,1.0255,-0.74095
7.7394,18.746,-8.7973
1.9812,2.9967,-4.7108
11.877,6.8363,5.2416
2.7973,3.9604,-10.894
6.359,11.426,0.82741
