dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12
-0.270762315,-1.028048616,-0.928613954,-1.218176633,-1.151363821,-1.120994665,-0.979645746,-1.010906334,-0.958589325,-0.965697141,-0.973931373,-0.927331111
-0.117170696,-1.101558281,0.445976762,-1.174116136,0.769297777,-1.125366435,-1.121524335,-0.981548729,-0.910501132,-1.062275652,-0.884906174,-1.016899808
0.793031421,-1.040869187,-1.07674302,-1.116098487,-0.863994007,-1.109527784,-1.051523599,-0.996072201,-0.954601524,-1.063222501,-0.935777716,-0.939358002
0.508959801,-1.086006698,-1.370848491,-1.168371978,0.913866311,-1.058090939,-1.122541106,-1.0258958,-1.052107172,-1.091391232,-0.942529186,-0.845991338
-0.850461367,-1.051982877,1.43412581,-1.150464685,-1.24537495,-1.092574546,-1.121446121,-0.980228414,-0.957572828,-0.853890159,-0.92478695,-1.030430061
-1.434695984,-1.052703561,1.049342687,-1.219796192,-0.136542607,-1.090121738,-1.069747254,-1.095950193,-0.929501833,-0.990157387,-0.999759669,-0.968317494
0.762111826,-1.096513499,-0.089837883,-1.2146248,0.310226838,-1.049361829,-1.15406099,-0.963219642,-0.986660319,-1.086893702,-0.965766804,-1.05582896
1.503002262,-1.059834529,1.393353171,-1.18766182,0.291202839,-1.051273576,-1.002875041,-1.136724647,-1.012776507,-1.154593346,-1.063898636,-0.864506421
1.409306515,-1.074020603,0.749974781,-1.1713675,0.221101652,-1.094774859,-0.947969434,-1.041972585,-1.006599323,-1.032686648,-1.00823826,-1.106785004
1.456189093,-1.119878798,-0.134791442,-1.201592639,-1.04792732,-1.089688888,-1.042059812,-0.994363556,-0.905575026,-0.877876978,-0.989161434,-0.957398339
-0.45589817,-1.097158321,-1.69190056,-1.184218616,0.326444018,-1.103792539,-1.042841941,-0.865749282,-0.845445239,-0.929006779,-0.964275201,-0.88476224
1.118502682,-1.115402979,-0.319132137,-1.186911292,-0.074757924,-1.080166218,-0.979411107,-0.95242412,-1.085104274,-1.039314585,-1.08650821,-0.960325938
-0.100097248,-1.080772266,0.9592628,-1.109942853,-0.034908015,-1.097371952,-0.943120221,-1.084999341,-0.888685515,-1.045548003,-1.082347418,-1.08439283
-0.700825789,-1.067344806,0.08251289,-1.227838012,-0.565223656,-1.115443381,-1.074831105,-1.032264381,-1.120212562,-0.964829197,-1.125054391,-1.103857404
-0.143648422,-1.074893008,-1.66654893,-1.220431505,-0.487117838,-1.110393481,-1.081088155,-1.015643938,-0.983298055,-1.022981455,-1.059737844,-0.974726559
-0.271213444,-1.017200443,0.647766765,-1.210098603,-0.901487575,-1.138312216,-1.060987386,-1.008421036,-0.956478135,-1.133368166,-1.065311733,-1.115726047
-1.670878669,-1.071972346,1.493280686,-1.145856191,0.718324545,-1.116179222,-0.943511287,-1.010828668,-0.998389146,-1.000651619,-1.088470846,-1.118416275
1.225038215,-1.059189708,1.700080884,-1.193313808,0.841824608,-1.154940815,-0.840348189,-0.971529863,-1.089873997,-0.942972786,-1.009258833,-0.986436956
1.169167789,-1.062831054,-1.102796042,-1.167713623,0.536123837,-1.085829323,-1.055512468,-1.058437698,-1.189256258,-0.984160682,-1.041995612,-0.97346057
0.12491135,-1.124051174,1.18133546,-1.179080144,-1.533032378,-1.141670398,-0.952114731,-1.012071318,-0.972898495,-0.972482889,-1.059345319,-0.934847916
-0.117934143,-1.094275588,-0.394215985,-1.184116569,-1.158536804,-1.107327468,-0.948595139,-1.076456124,-1.062350349,-0.992208889,-1.017266388,-1.023546249
-1.39497246,-1.048531185,-0.671539024,-1.169458267,-1.199980709,-1.172005871,-1.164776189,-1.018129238,-1.148518133,-1.010356813,-1.008709294,-1.012785346
1.319775025,-1.03476235,0.093638984,-1.214855225,0.337116864,-1.155561231,-0.96767914,-1.021158198,-1.087684614,-1.019115157,-0.978641701,-0.937142522
-0.07125978,-1.071327524,-1.143292255,-1.132458641,1.3597348,-1.071509248,-1.053713565,-0.983257374,-0.941387044,-1.09115452,-0.93742633,-0.908736901
-1.088552669,-1.006921229,-0.327977725,-1.148390865,1.408906119,-1.091600636,-1.028294303,-0.988849296,-1.022863297,-1.053438403,-1.015225246,-0.954233367
-1.565134343,-1.058696607,-0.597975509,-1.143058178,-0.772443176,-1.180009962,-1.215536499,-0.976034469,-1.043271455,-1.068745782,-0.957523729,-1.009224751
0.870208956,-1.049289799,0.17971071,-1.121562842,1.369229473,-1.115515522,-1.094462598,-1.150859792,-0.992211963,-1.14701856,-1.032496448,-1.051081502
-0.915978985,-1.069279267,-0.882762015,-1.180143388,0.2541251,-1.070391057,-0.878907255,-0.925784809,-1.055156669,-1.049414298,-0.916151351,-1.044909808
-0.984411581,-1.06370346,1.640891456,-1.222916799,0.789881119,-1.188984357,-0.977690418,-1.08111606,-0.959058478,-0.888607925,-1.088549351,-0.816873597
1.091365617,-1.086575661,-1.051933905,-1.197484494,1.386555519,-1.078326611,-1.139278713,-1.094707546,-0.963202665,-1.047283891,-1.098990579,-1.007167519
1.024529319,-1.124013245,-0.521474985,-1.189765268,-0.202416236,-1.102890772,-1.050193976,-0.957938378,-0.902603722,-1.033002262,-0.936170244,-1.203079268
-1.354960906,-1.076334376,1.673924201,-1.192938544,1.51812952,-1.097624447,-0.980427878,-1.054865078,-0.985956589,-1.09746684,-0.984843631,-1.019036162
1.376270092,-1.05433458,-0.739643148,-1.211961751,0.69476112,-1.067793964,-0.952505794,-0.989082295,-0.972820302,-1.033870209,-0.954069491,-1.117150285
